[0:00]  Buenas. Buenas noches.
[3:28:12]  ha puesto en riesgo la legislidad del desplegués militar
[3:28:15]  de Estados Unidos al Caribe, por su vinculación
[3:28:17]  es con la mafia al van a esa, que opereña Ecuador, donde por cierto.
[3:28:21]  Ecuador es responsable de la mayor exportación de los 87%
[3:28:25]  de la droga colombiana que se exporta EEUU Europe,
[3:28:28]  pero nadie dice nada.
[3:28:30]  Primo, hablando del chau que tiene Estados Unidos
[3:28:33]  con el desplegués militar en el Caribe,
[3:28:34]  boté a acordar que nuestros patrota cooperantes
[3:28:37]  en cartas anteriores nos habían informado
[3:28:40]  que no descataban que el Ier Marco se lanzaron falso positivo.
[3:28:44]  En su intento es espero poder resultado en el trón,
[3:28:47]  alias alcatir, y justificar lo más de 500 millones de dólares
[3:28:52]  que le costara de Estados Unidos te dépliga militar.
[3:28:54]  Bueno, hermano, ayer llegó el primer falso positivo
[3:28:58]  la temporada.
[3:28:59]  Por eso tengo el patrota teletovi,
[3:29:02]  monitoreando las reacciones de la comunidad internacional
[3:29:04]  frente a este chau montado el día de Ier
[3:29:06]  por los coños del departamento de Estado.
[3:29:08]  Mirá mejor querido.
[3:29:10]  Es que no hay un poquito de coherencia en nada
[3:29:12]  de lo que estos coños dijeros.
[3:29:14]  Y mucho menos en el vídeo que mostraron.
[3:29:16]  Eso sí.
[3:29:17]  Lo único que quedó más claro que el agua
[3:29:19]  es que esos malallos de Donald Trump y del Marco Rubio
[3:29:22]  se hauto incriminar o utilizando su propia prueba.
[3:29:25]  Es decir, ellos mismos quedaron al descubierto
[3:29:27]  con el vídeo que publicaron y donde se pueda apreciar
[3:29:31]  que Estados Unidos nunca buscó interceptar la embarcación
[3:29:35]  que llevaba la supuesta droga
[3:29:36]  para hacer el procedimiento de rigor en caso de incautación.
[3:29:40]  Si no por el contrario, el vídeo muestra el flagrante
[3:29:43]  uso de proporcionado la fuerza
[3:29:45]  cuando decidieron volar la embarcación
[3:29:46]  sin ninguna mediasión previa.
[3:29:49]  Primo, yo siempre le repito nuestro patrota cooperante,
[3:29:52]  lo que dice todo el Ministerio de Uttisia.
[3:29:54]  Nosotros siempre vemos esta por lo menos diez pasos
[3:29:57]  por delante de quienes quieren hacerle daño a la patria.
[3:30:00]  Padecen más caralos y derrotarlo.
[3:30:03]  Eso es precisamente lo que estamos haciendo.
[3:30:06]  A todas estas hermanos, nuestra patria está cooperante
[3:30:09]  como un estimador de la Salle,
[3:30:12]  me confirmó que hayan la tarde maria coriéndetaba
[3:30:14]  superufórica y lo ofreció un mono especial a todos los
[3:30:18]  palangritos y bendadores de uno para exagerar y posicionar.
[3:30:23]  Con mucha fuerza el vídeo en la lanche rápida
[3:30:25]  que fue volada por los estadounidenses
[3:30:27]  y que supuestamente estaba cargada contrauga.
[3:30:30]  La Salle también les ordenó magnificar la narrativa
[3:30:33]  el cartel de los hores y el supuesto inicio
[3:30:35]  de la transición menesolada.
[3:30:38]  Diosgado, según nuestro patrota cooperante al gringo,
[3:30:41]  las contundentes declaraciones de estos comandantes
[3:30:43]  de F. Supervigóte en la Roja de Prensa de este Lúne,
[3:30:46]  donde reveló que el 87 de la droga que se esporte
[3:30:49]  de Estados Unidos, 87 por ciento de la droga,
[3:30:52]  que se esporte de Estados Unidos de Europa,
[3:30:54]  sale por el Pacífico, específicamente por ecuador,
[3:30:58]  utilizando en te varias vía las empresas vananeras
[3:31:01]  de la familia en presidente Daniel Novó,
[3:31:03]  a Alea Niño Mafioso, primo,
[3:31:06]  hace en el caso que estoy verídico.
[3:31:08]  Esa denuncia su pervigóte, fue el detonante
[3:31:10]  para que el Liel Marco acelerara la puesta en cena
[3:31:13]  en escena del falso positivo del caribe
[3:31:16]  y otras operaciones de falsa van dera que viene en camino
[3:31:19]  y que por cierto ya te las envió a el Grupo de Guilla
[3:31:22]  restiado con su pervigóte.
[3:31:25]  Malayo, otra información más buena
[3:31:27]  que ponésse un flucon monoducasión física.
[3:31:33]  Es que según nuestro patriota cooperante el Tuqueque,
[3:31:38]  quien siguen filtraron las filas de la mafia
[3:31:40]  en la Anesa y Ecuador me contó que en Daniel Novó,
[3:31:43]  a la Alianinio Mafioso,
[3:31:46]  sostuvo una conversación con Alvaro Uribe,
[3:31:48]  alias del Paraco,
[3:31:49]  entre los varios temas que tocaron,
[3:31:52]  estaban de las nuevas rutas para bajar el perfil
[3:31:54]  y salir un rato al radar danñarle
[3:31:57]  a los gringos del caribe,
[3:31:59]  pero qué muy esa, primo.
[3:32:00]  Bueno, no me lo vais a creer,
[3:32:02]  pero Uribe y Novoa también hablaron sobre la paba que le cayó
[3:32:07]  desde que se alearon con María Corina.
[3:32:10]  Por eso acordaron que en algún momento
[3:32:12]  van a tener que salir de esta coña
[3:32:13]  y buscar otras personas va a esperar en Venezuela.
[3:32:16]  Para ello, las allos secoemos,
[3:32:18]  se queen hoy se volvió purabuyen.
[3:32:21]  Privo, eh, cambiando un poco el tema.
[3:32:24]  La semana que viene vengo afilado.
[3:32:26]  Solo te voy a solta esta perlita.
[3:32:29]  La nueva novia de Iván Cibonóbe, alias del reno,
[3:32:32]  viene trabajar con la isortega.
[3:32:34]  Y tiene un amplio puntualio de guiso y estafa
[3:32:37]  a P.D. en la Chiarieta, en su ateki diodado.
[3:32:40]  Es cebró yo, va a dejar al descubierto la doble moral del reno.
[3:32:43]  La doble, cara, será porque si yo no tiene moral.
[3:32:47]  Diodado, ya que estamos hablando de Iván Cibonóbe,
[3:32:50]  alias del reno, que quiere de deshaut una lista de nombres
[3:32:54]  de personas creando a odinero para que yo hay intentes colocar explosivo
[3:32:58]  y volar y asesinar personas en...
[3:32:40]  Ese brollo va a dejar al descubierto la doble moral del reno,
[3:32:44]  la doble, cara será porque si yo no tiene moral.
[3:32:47]  Diosado, ya que estamos hablando de Iván Simon Obe,
[3:32:51]  alí es el reno, que quiere dejar una lista de nombres de personas
[3:32:55]  que le han dado dinero para que yo han intentado colocar explosivo
[3:32:58]  y volar y asesinar personas en sonas públicas,
[3:33:01]  como lo que quiso hacer en plaza Venezuela a sonos de día.
[3:33:03]  Primo, es importante nombrar estos copetúos,
[3:33:06]  para que ven que lo tenemos rodeado
[3:33:08]  y que están haciendo el papel de pendejo
[3:33:10]  porque Simon Obe lo juza, los roba y no hacen nada.
[3:33:13]  Entre ellos están Vicente Pérez Recabao y Su Sosocio.
[3:33:16]  No sólo le dan cobre Pabaína Locas
[3:33:18]  sino que también le pagan para allá persona.
[3:33:21]  Es decir, para que Iván los extorsionan la redes sociales,
[3:33:25]  poco en la famosa lista que le lleva a Rieco.
[3:33:29]  El hijo se deño, este coño es si un histórico financiente Simon Obe
[3:33:32]  porque se hicieron amigos los que la voz son del sevín.
[3:33:35]  recientemente gustaba a tomar a rollo del afieta mexicana,
[3:33:40]  le he montado una operación de recodación de fondos en tanpa.
[3:33:43]  Fue de divulghton el coño que era dueño de man no en caraca.
[3:33:47]  También es tal hijo en el sonme ser jane,
[3:33:49]  Max Su me ser jane del Banco Federal y muchos altíomas
[3:33:53]  que quieren venir recuperar por supuesto.
[3:33:55]  El doño de Banco Federal y muchos altíomas
[3:33:57]  que quieren venir recuperar por supuesto que tengo más.
[3:34:00]  Pero eso mejor te lo paso a privado
[3:34:02]  porque tienen conexiones con gente que aún es tenvenes suela
[3:34:05]  y es mejor hacerles operación tú en tu hermano,
[3:34:10]  presta me atención porque te vea desde una brevoca.
[3:34:14]  Al fin logramos a armar el rompe cabeza que no desagrador 1.000
[3:34:17]  por un buen tiempo, magalime de Mares Corina.
[3:34:20]  Solo te diré que hay una relación con el apellido Velázco
[3:34:24]  porque los Venezuela no siguen hablando y las pruebas existen Velázco,
[3:34:29]  Velázco me suena, Velázco, Velázco.
[3:34:35]  En otro orden, nuestro patriotaco perante al pejo teco,
[3:34:40]  que en siguen filtrado en grupos de signas de primeros noticias
[3:34:43]  ha amenitado por Julio Borre,
[3:34:46]  alis el Sejón, Centeroque fue Julio Borre
[3:34:49]  que mandó a Carlos Ocarí, Alia Confreconagua,
[3:34:52]  adaluna con ya se en redes sociales a Caprile,
[3:34:55]  Alias Lise Benoche.
[3:34:57]  Por haber declarado en contra de una intervención militarana
[3:35:01]  de transgero, Primo, con esta actitud,
[3:35:04]  mucha gente que antes de usar a la saño comienzas a despertar
[3:35:07]  y darse cuenta que la coña está realmente enferma de odio y de venganza.
[3:35:13]  Diosdado, tengo una información sobre el suble,
[3:35:17]  pero no estoy autorizado por Tomigo Alminitro,
[3:35:19]  pa de si la por esta vida,
[3:35:22]  ya que es algo muy delicado sobre la misión que nos encomendó
[3:35:24]  en nuestros personas, en nuestro comandante en Jefe Superior,
[3:35:28]  y Vigote.
[3:35:29]  Lo único es que si te puedo decir que manera rosale,
[3:35:31]  al Alia, el filóso fue el suble, sigue más perdido que un título de prescolada.
[3:35:36]  Ya ni si quierescribe en los grupos de guazadas de un nuevo tiempo
[3:35:40]  en suble, bueno hermano, te tengo que dejar,
[3:35:44]  porque tengo que llevar tu hijado Google Nicola,
[3:35:46]  corta el pelo a la Orbería en niños que quedan en el centro maracaio,
[3:35:50]  porque la señora que feita ya en la única que la sabe toriar,
[3:35:54]  ya que el cognito es en más inquieto que la jaleita de un papagaño.
[3:35:58]  Diosdado, lo que te quieres ver.
[3:36:01]  Te quiero más que una pasta cuatro que eso.
[3:36:04]  De las que venden en Davisi, en Maracaio,
[3:36:08]  el restauran que queda de coplea del 5e julio.
[3:36:12]  El escapete, el espaguetis encillo.
[3:36:15]  Debe llevado a 2 kilódenas mezcladas de queso parmesano,
[3:36:19]  queso palmita y ese queso pecorino del que vuela pecueka.
[3:36:23]  Obió.
[3:36:28]  Todo lo que eso debía ir rayado y mezclado con la salsa alfredo,
[3:36:31]  con bastante mantequilla de retida,
[3:36:34]  se anpingió en Moisésubo,
[3:36:36]  y extra de camarones de los que pecan frente a la verdad en lago.
[3:36:40]  Diosdado, si no es mucha moletia y abuso,
[3:36:44]  que arriba en Espaguetis le echen una ramita de cilantro
[3:36:47]  para querer de aroma.
[3:36:49]  También que le echen oregan hoy un toque pimienta.
[3:36:53]  Primo, como el médico fue al médico,
[3:36:55]  me dijo que voy bien con la dieta.
[3:36:59]  Y como no estoy abusando con la comida,
[3:37:02]  que de contorno me sirva nada más,
[3:37:04]  5 pa' necarrilla cortado a lo largo.
[3:37:07]  Bien, viento, estáo comantequilla,
[3:37:10]  aceite oliva que osa a los copetugos.
[3:37:12]  Un servido hecho el pastelito de pollo y carne me chada.
[3:37:17]  Más una roda gita de queso se hubiera jugosa de kilói medio.
[3:37:22]  De tomar me da un botellón de juguete para él,
[3:37:26]  con bastante hielo, de postre, eso sí,
[3:37:29]  una torta de chocolate, rellena de aderquipe por dentro
[3:37:33]  y leche condensada por fuera.
[3:37:36]  Con una camita evolita de Toronto y Pirurini.
[3:37:41]  De me cuidar es hermano que lo que te quiero es ver, que es malayo.
[3:37:46]  No me da la verdad es, no me da la verdad es.
[3:37:55]  Mi hijado me mandó una información.
[3:37:58]  Daté, huitó ni con las.
[3:38:00]  Que fue padre no viosado, bendición,
[3:38:03]  como está y míro.
[3:38:05]  Soy yo malayo, otra vez,
[3:38:07]  tu hijado un bonito las en de los cachete con rojos,
[3:38:12]  en de los divertidos, de que te enamora,
[3:38:15]  como una mirada, alino,
[3:38:17]  de que ya me llevo,
[3:38:18]  de lo uniforme de mi lleno que me míaques,
[3:38:21]  me quedó unito y te he quedó unito y te he quedó unito y te he quedó unito y te he mirado.
[3:38:23]  Ya me ríeo que el saludo me va a llevar para elitarme en la mi lleno.
[3:38:28]  Y la pared no,
[3:38:29]  me temi que no te reconocien que han venvisto
[3:38:32]  con toda la información que te he mirado.
[3:38:35]  Yo te alerte a vos sobre la operación de falsa bandera de Guajana,
[3:38:39]  con tan en sueda,
[3:38:41]  que también,
[3:38:42]  que alerte,
[3:38:43]  ve el falso positivo
[3:38:45]  que estará montando marco rubio e coño dice,
[3:38:49]  que parece líder marco para su que se está
[3:38:52]  su despiegabilitar en el caribe.
[3:38:56]  Tal no,
[3:38:57]  de que te tengo un bravo bien molyero oite,
[3:39:01]  mi informante de tarogullos me confirmó,
[3:39:04]  que diré marco que está trabajando en lo que llama,
[3:39:07]  que el plan en el físico para la libertad.
[3:39:11]  Para por rubio buca,
[3:39:12]  reditar el antiguo grupo de Lima,
[3:39:15]  lo coño me sofracazado,
[3:39:17]  que derrotó superviote
[3:39:19]  para aumentar la presión y el aislamiento
[3:39:22]  de la región sobre Venezuela.
[3:39:24]  A vino,
[3:39:25]  como el hiermanco,
[3:39:26]  después de la mentira de pata de ayer,
[3:39:29]  se vio cuenta que lo del invento de droga,
[3:39:32]  y el falso cartel de los soles,
[3:39:34]  me lo cuento que podemos dar tan fácil,
[3:39:37]  porque nadie se treba la embúste de barquito,
[3:39:40]  con droga el cual,
[3:39:42]  en vez de ser capturado,
[3:39:44]  para usarlo como biencia,
[3:39:45]  más bien lo despriero,
[3:39:47]  convenientemente para no dejar restros.
[3:39:50]  Ahora,
[3:39:51]  el coño dice,
[3:39:52]  y de marco,
[3:39:53]  está tratando de darle la vuelta a su estrategia,
[3:39:56]  y está duplicando a la tarde de chão,
[3:39:59]  a que parece una sanaboria,
[3:40:01]  que por favor me entende el despiegad militar,
[3:40:04]  de estar ognidos,
[3:40:05]  en el marcariro para profundizar
[3:40:07]  el tema de un surf y dubre sobre Venezuela,
[3:40:11]  y con eso,
[3:40:11]  cultivar un invasión militar
[3:40:14]  contra nuestro país.
[3:40:15]  A vino,
[3:40:16]  escuchar y lo que te voy a decir,
[3:40:18]  mi informante en esta reunión,
[3:40:21]  también he contado que marco rubio,
[3:40:23]  está intentando capturar
[3:40:26]  un buque petrolero de desgano en el tamar,
[3:40:29]  para profundizar la tesis de nuestro país,
[3:40:32]  por he hecho de cartel de no soles,
[3:40:34]  sólo le queda para el derrumo y del barato,
[3:40:37]  tal no,
[3:40:38]  el verdadero plan de marco rubio
[3:40:40]  es secar la economía de la sociedad,
[3:40:43]  a ser mi caso de lo que te te diciendo para ello,
[3:40:46]  bueno, mi rogui,
[3:40:48]  porque te tivocando otra información,
[3:40:50]  sobre el día de marco y su chão en el tague,
[3:40:53]  alino, acordate,
[3:40:55]  de mi tema de grupo de hechar,
[3:40:57]  Santiago y su peliote,
[3:40:59]  que no me arresmente y lo hite,
[3:41:00]  mi no cabrino, mi boi,
[3:41:02]  vendese a un etiquero.
[3:41:15]  ¿No, congratulateabaatalogos,
[3:41:19] án Al Moncitte воды de Miguel léthe".
[3:41:22]  Una egóя dat promencio en la Unión Forum de Léthe P Kazuto
[3:41:25]  No se clinically aےividad con ti ni Kenny,
[3:41:28]  ehh
[3:41:30]  ¿No me dará la verdad es?
[3:41:33]  ¡Esta es la verdad!
[3:41:35]  ¡Late Chubo!
[3:41:36]  ¡Esta es la verdad!
[3:41:37]  El Riqueca Prígles, hoy una declaración es a la BBC de Londres y también por cierto,
[3:41:49]  hace en internacional, el titular dice, ¿y qué capriles dos puntos, la mayor parte de las personas
[3:41:56]  que quiere una invasión de Estados Unidos, su precisamente, las que no vive en Venezuela,
[3:42:01]  es la opinión del Riqueca Prígles, repito, uno puede tener cercanías o distancias
[3:42:09]  con esta posición, pero yo se le hebró primero el coraje cívico al plantearla.
[3:42:17]  No estamos con maduro, entonces mal podemos entonces caracterizar como tradición entre comillas,
[3:42:24]  simplemente quien piensa el titular.
[3:42:26]  Y el gestorio en el portado de Huacamaya de E, las sanciones fueron diseñadas para
[3:42:32]  dañar la economía y obligar a maduro a negociar.
[3:42:37]  ¿Qué fue lo que pasó aquí?
[3:42:39]  Claro que hubo problemas.
[3:42:20]  Entonces, caracterizar como tradición entre comillas simplemente que empiece a ritir.
[3:42:25]  Y el gestorio en el portado de Guacamaya de E.
[3:42:29]  Las sanciones fueron diseñadas para dañar la economía y obligar a maduro a negociar.
[3:42:36]  ¿Qué fue lo que pasó aquí?
[3:42:38]  Claro que hubo problemas de colómicos a raíz de estas sanciones que repito,
[3:42:45]  reconocer al mite confiesta y mi histórico fue un diseñado para dañarle con un mía.
[3:42:52]  ¿Y qué pasó?
[3:42:54]  Se genera el sol de protesta, no vale.
[3:42:58]  Te recuerda lo que ocurría en esos años cuando la gente tenía que levantarse más
[3:43:04]  drugada a hacer la cola frente a la bacto frente a la bodega frente al supermercado.
[3:43:09]  Acá en ese agolte con los bachacheros,
[3:43:11]  porque no te lo van al puesto en la cola para tener el privilegio de comprar los kilos de
[3:43:17]  alina de maíz precocida o cuatro rollo de papeligenico.
[3:43:20]  Pero recuerda, y ojo, esto es importante, no solamente para que veamos con más claridad
[3:43:28]  lo que pasó, lo que se hizo y el efecto negativo que tuvo,
[3:43:35]  es que esto también nos puede servir un poco para valorar que es lo que está ocurriendo
[3:43:39]  hoy.
[3:43:41]  Lo que esto ocurriendo hoy es un ejercicio hasta ahora de propaganda armada,
[3:43:48]  una exhibición de musculatura militar en el caribe generando un conjunto de presiones
[3:43:54]  políticas con la supuesta esperanza de que esto generé un quiebre,
[3:44:01]  que haya una relación, que haya una fractura que haya una traición justamente lo
[3:44:07]  de tienen 26 años, dando que no han logrado, porque esa manera no hay.
[3:44:12]  Entiende.
[3:44:14]  Te presento la Venezuela Tierra de Gracia que estamos construyendo escribiendo
[3:44:18]  machado en una publicación en Instagram.
[3:44:22]  Bueno, ustedes saben ese es su principal formación con la ciudadanía,
[3:44:29]  los videos de YouTube.
[3:44:31]  El profilito son apenas ejemplos de cómo en tiempos de confrontación aguda.
[3:44:39]  Nos encontramos con a vieras cosas que hacen uso y a uso de su capacidad
[3:44:49]  de retorcer la realidad desde el punto de vista retojico.
[3:44:53]  En situación de conflicto, la primera víctima es la verdad.
[3:44:57]  La primera baja es la verdad porque además de confrontación política,
[3:45:03]  además de yo no lo queda, confrontación militar,
[3:45:07]  hay una confrontación de narrativas.
[3:45:11]  Entonces, tú es como los voceros empiezan a faltar a la verdad en función de sus
[3:45:19]  efectivas agendas políticas en los lados.
[3:45:30]  ¿No hubiera la verdad es?
[3:45:32]  ¡Pero su maviá!
[3:45:34]  Que feo cuando le dan una lección desde su propio fila.
[3:45:38]  Una pelaleda.
[3:45:39]  Su reporte ya la Fán de Mantelón Central,
[3:45:43]  como una educación es el logístico,
[3:45:44]  que la intestino en los ovitos, un principio mirando ha usado por tal
[3:45:48]  la incuencia organizada para el tráfico de drogas y ni tu pereja suele
[3:45:51]  en describer la Fán de Mantelón sus clandestinos.
[3:45:56]  La gente se vuelve el loga, pues, en este en este en el local ¿eh?
[3:45:59]  ¿Qué es la presentación de no, 15 mil nuevos hombres?
[3:46:06]  En toda la zona de paz número uno que incluye los Estados Tachira y su lien,
[3:46:12]  deplegandose.
[3:46:14]  Y vamos encontrando cosas sobre la marcha.
[3:46:17]  Esbalatándose entre los íticos, lo que pasa es que ella le pagan los narcos,
[3:46:21]  ella recibe plata de esa plata de ahí, de lo que producen los narcos.
[3:46:26]  Y si nosotros le damos golpe aquí en Venezuela,
[3:46:28]  ella no cobra lo que espera a corar.
[3:46:31]  Ve lo que, ve, ve, ve la cual es su interior,
[3:46:33]  que en su propio interior, en que esos negocios de los narcos no les toques
[3:46:37]  la estructura logística.
[3:46:39]  De esa expresa, sí, con lo que hubiera probado un importante retenrejoz de la
[3:46:42]  responda a Chave.
[3:46:44]  Es decir, nuestro efectivo militar es Bolivariano, que están desplegados por el
[3:46:48]  país, la Guardia Nacional, golpeando el narcotráfico.
[3:46:52]  Como nunca antes, a más, vean la historia, golpeando el contrabando el robo de gasolina,
[3:47:00]  el contrabando delimento en esas largas fronteras, destruyendo sembradillos junto con el
[3:47:06]  ejército y la fuerza aérea y la marina, los sembradillos que quedaban porque ya no
[3:47:11]  hay sembradillos y el que detectemos, se destruyemos de destruyidos no se cuantos laboratorios,
[3:47:17]  encautados fincas, atos, propiedades, aviones, llate y todavía tiene el ministro de
[3:47:26]  Fense colombias, la caixa de decir que están preocupados porque se incrementa la salida de
[3:47:32]  aviones por Venezuela.
[3:47:34]  Habría que preguntarle de dónde salen los aviones.
[3:47:36]  Te será que cree que unos otros somos imbeses, ¿no?
[3:47:39]  Y cuando está demostrado que el 80% de la droga en Colombia sale por allá por el pacífico
[3:47:46]  y ahí tiene los Yankees por tabiones, tenían la base de manta, lo Yankees lo que hacen
[3:47:51]  es propiciar el narcotráfico y cuidarlo.
[3:47:55]  ¿Sabes por qué entre otras cosas?
[3:47:57]  Me lo explicaba alguien hace poco, ¿qué sabe mucho de esto?
[3:48:02]  Me dijo, chave, date cuenta, la idea se creo no para combatir en narcotráfico, sino para
[3:48:07]  canalizarlo, ¿por qué?
[3:48:09]  Porque si tú le quita la droga a los que consume en Estados Unidos allá se vuelve
[3:48:17]  es una locura.
[3:48:18]  ¿Le ya les salan a mi día?
[3:48:20]  Son millones de consumidores, hace poco, se ha de un informe hecho por un centro de estudio,
[3:48:25]  ya no recuerdo cuál, pero es de allá de Estados Unidos, que indica que más de 90%
[3:48:31]  de los billetes físicos que circulan en Estados Unidos tienen trasa de cocaína y en Washington
[3:48:39]  95% hasta en la casa blanca con su me encocaina.
[3:48:44]  Entonces, si tú le cortas de eso, María Cristina, se vuelve en loco, esplotre esa sociedad.
[3:48:52]  Entonces, yo lo ven muy bien como una necesidad al consumo necesario para mantener la
[3:48:59]  gente normal, una conducta aparentemente normal.
[3:49:04]  Eso es verdad verdadita.
[3:49:06]  Entonces, lo ya en que toman esas cosas para acticamente tomar un Colombia.
[3:49:11]  Entonces, si te una agarana menasa contra la paz de Venezuela, que viene desde
[3:49:16]  Estados Unidos.
[3:49:17]  No me nace real la y está y estamos comenzando una gran contra ofensiva interna y
[3:49:23]  termen lo político en lo social, en lo económico, en lo cultural, bueno, fíjate
[3:49:32]  y resultados importantes.
[3:49:34]  Resultado y portando el reconocimiento que hoy tiene Venezuela, nivel mundial, es que
[3:49:40]  crece cada día más.
[3:49:41]  Y vamos a seguir arreciando el lado ofensiva internacional en una sur en la reunión de
[3:49:50]  Suramérica con África.
[3:49:53]  Lula lo dijo por todo el caño nunca en la historia de Venezuela, coviérmula, alguno había
[3:49:59]  hecho lo que chave el diseñable, pero estamos todos nosotros hemos hecho este gobierno
[3:50:04]  hechos, esta revolución ha hecho por lo que en esa lána, y sobre todo por el pueblo
[3:50:09]  y los que estaban escribidos, pero por millones.
[3:50:20]  Trente ayunas informas de la organización de San Pedro de Contra las Droguías del
[3:50:26]  Elterito de la Hono, 31 años seguido, certificando Venezuela como territorio libre de
[3:50:32]  droga.
[3:50:33]  Trente ayunas.
[3:50:34]  Y viene a las asalariados del narco.
[3:50:38]  Ahora, venida de decir porque ya cobra por la nomina de la salona y la nomina la
[3:50:45]  salina de la paga, un narcotráfico.
[3:50:47]  Esa su amo, su jefe son los al narco.
[3:50:51]  En monorro en con capitalismo libertad, propia abre y privada, así será la nueva Venezuela.
[3:50:56]  Wow.
[3:50:58]  Ah.
[3:51:00]  Ah.
[3:51:02]  Mafia, también.
[3:51:05]  Mahiror Petí, estas y más en generan la impresión que ven de suelen lo que es yo.
[3:51:10]  Esto ocurrió durante la clausural segundo curso de operaciones especiales, revolucionarias
[3:51:14]  coer.
[3:51:15]  Los efectivos serán enviados a la zona vina final de paz número uno con los meonesolanas
[3:51:19]  que supuestamente buscaban eficiente a la soberanía, la paz y el futuro de las comunidades
[3:51:25]  fronterizas, ¿qué piensan ustedes de esto?
[3:51:27]  Venención a los que soy por qué?
[3:51:29]  ¿Por qué, Mahiror?
[3:51:32]  Estudas y más aluchas contra el narcotráfico.
[3:51:34]  ¿Tiene pagan también por ahí, ¿verdad?
[3:51:36]  No les duele.
[3:51:38]  1.3, comando, fueron cerradaron.
[3:51:41]  1.3.
[3:51:44]  Una fuerza, una fuerza fuerza.
[3:51:46]  Claro, subestímica eso.
[3:51:52]  Y a esa, subestímica.
[3:51:54]  Subestímilo.
[3:51:55]  Te va a repondechabé también.
[3:51:58]  Todo esto de los oficiales técnicos es con esa idea, no se déjenme ter basura en la cabeza.
[3:52:05]  No, la guerra psicológica que trena una nada, fortaleza militar.
[3:52:11]  Fortaleza militar popular por eso incitó mucho en las milícias.
[3:52:15]  Los batallones del rech…
[3:52:00]  es con esa idea, no se déjeme ter basura en la cabeza, no la guerra psicológica que
[3:52:07]  que tronó nada, fortaleza militar, fortaleza militar popular por eso incisto mucho en las
[3:52:14]  milicia, en el Velárez que las milicia, los batallones de reserva, por ejemplo, los viejo
[3:52:22]  batallones lo más antiguo, hemos dicho que pueden pasar a ser batallones de combate,
[3:52:29]  la ayones toda línea, en vez de ser batallones como de reserva, hay tropas de muchas
[3:52:35]  experiencias profesionales de muchas experiencias, que pueden servirnos para completar alguna
[3:52:41]  unidad de y crear otra, de primera línea de combate, y Infantería Artillería
[3:52:46]  Blindado, ingeniería, que me faltó servicios, ¿qué más?
[3:52:52]  ¿Cómo unicación, etcétera? Y luego las milicias es el pueblo, la UNEFA, por ejemplo, en
[3:53:06]  la UNEFA sale una división de milicia. El frente mirando a otra división de
[3:53:12]  la crisis. Los índios, guayú, lluv, pavari, piaroa, llano, mani, allálos del
[3:53:20]  capanaparro, los cuive y lo llaruro, es una división de índio. Cropa, no todos, verdad, estarán
[3:53:28]  en condiciones. Es no lo que tenga en mejores condiciones físicas de salud en la edad de ser
[3:53:34]  soldados para el combate. La milicia no puede ser vista como la milicia, no puede ser
[3:53:42]  vista como bueno donde está el mundo, por lo viejo, nosotros lo viejo. Además de algunos viejos,
[3:53:50]  como nosotros, tropas de combate, Juventud, los trabajadores de cidor, los trabajadores de petróleo
[3:53:58]  Venezuela, los campesinos que están allas enbrando tienen un tractor o bueno, a lo
[3:54:04]  mejor hay enganchado el tractor, el fusil, con padre, hay que romper el esquema, el esquema
[3:54:09]  viejo, ese paradigma viejo. Para tener una milicia que sean un dos millones, tres millones,
[3:54:20]  cuatro millones, unidades de inteligencia popular, no hay nadie más inteligente que el pueblo,
[3:54:28]  con capacidad para ser redes de inteligencia, contra las infiltraciones que usted
[3:54:33]  mismo señalaban en la frontera para militares que vienen y se defraza ante campesinos
[3:54:38]  o de taxista, y se convierte que en una menaza afecta mucho el tema de la seguridad
[3:54:44]  ciudadanas, bueno, nadie mejor que el pueblo en redes inteligencia, tácticas, tratez y
[3:54:51]  capoliticas social, el pueblo, recordemos a más o no hay soldados impueblos, un soldado
[3:55:00]  impueblos como un pez en el desierto, en lo seco, se muere, no tiene vida, no tiene vida,
[3:55:07]  ese es parte de la doctrina militar Bolivariana.
[3:55:17]  Ya agarra inota, ya agarra inota, mayor patí, le opoldo castillo, en otra época subiera
[3:55:27]  convocado una reunión de emergencia en la OEA, ahora nada. A esa institución significaban
[3:55:36]  la nada, significan la nada. Tríistes son pasado y no tienen respuesta al mundo de hoy,
[3:55:41]  se recuerdan el nombre del secretario general, algo tiene, las nostálgicos, triste, de
[3:55:51]  primero, te está llegando a la conciencia a los muertos, al Salvador, ah, a la gente,
[3:55:57]  comienza a llegar a los muertos, los militares son leales hasta que dejan de ser lo recordó
[3:56:05]  en mundo González.
[3:56:12]  Deacrecer en mundo González, que ese es el discurso con los que va con quizás militar es
[3:56:19]  un convencido. ¿Ponte a creer? Te va a repondech a ver.
[3:56:26]  En el caso de Nesolano, y esto es digno de estudiarse. En el caso de Nesolano, Estados Unidos,
[3:56:33]  nunca se vio obligado a invadir Venezuela, nunca fue necesario, me han dicho, ellos invadieron
[3:56:39]  Guatemala para, yo pienso que para honra del ejército de Guatemala de aquel entonces,
[3:56:49]  que dirigía a mi coronel Jacobo Arvengumman, les iba a tumbar a Jacobo Arveng, tuvieron quien
[3:56:56]  badiro Guatemala.
[3:56:59]  Para agoloria del ejército dominicano, para tumbar a Juan Bosz y de tener la revolución del
